,school-name,matched_again,match_from,school_address
212,North Kingstown High School,"(North Kingstown High School, 150, Fairway Drive, Annaquatucket, Washington County, Rhode Island, 02874, United States of America, (41.55623195, -71.4485952335))",Nominatum,"North Kingstown High School, 150, Fairway Drive, Annaquatucket, Washington County, Rhode Island, 02874, United States of America"
213,University of Arizona,"Tucson, AZ",Collegelist,
214,University of Arizona,"Tucson, AZ",Collegelist,
215,"San Francisco State University, College of Business","San Francisco, CA",Manual,
216,Fachhochschule Aachen,"(Fachhochschule Aachen, 11, Bayernallee, Siegel, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52066, Deutschland, (50.7556109, 6.0959944))",Nominatum,"Fachhochschule Aachen, 11, Bayernallee, Siegel, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52066, Deutschland"
217,"University of California, Santa Barbara","Santa Barbara, CA",Collegelist,
218,Cornell University,"Ithaca, NY",Collegelist,
219,Cornell University,"Ithaca, NY",Collegelist,
220,Northeastern University,"New York, NY",Collegelist,
221,State University of New York College at Cortland,"(State University of New York College at Cortland, Prospect Terrace, Cortland, Cortlandville Town, Cortland County, New York, 13045, United States of America, (42.5972222, -76.1902778))",Nominatum,"State University of New York College at Cortland, Prospect Terrace, Cortland, Cortlandville Town, Cortland County, New York, 13045, United States of America"
222,University of Malta,"(University of Malta, Ring Road, Msida, Malta, BKR4019, Malta, (35.90211695, 14.4833488437))",Nominatum,"University of Malta, Ring Road, Msida, Malta, BKR4019, Malta"
223,H.Frank Carey,"Tempe, AZ",Manual,
224,Vanderbilt University - Owen Graduate School of Management,"Nashville, TN",Manual,
225,Boston College,"Chestnut Hill, MA",Collegelist,
226,Brophy College Prep.,,,
227,University of North Carolina at Chapel Hill,"St. Louis, MO",Collegelist,
228,Cary Academy,"(Cary Academy, Appletree Lane, Cary, Wake County, North Carolina, 27513, United States of America, (35.819917, -78.7691508))",Nominatum,"Cary Academy, Appletree Lane, Cary, Wake County, North Carolina, 27513, United States of America"
229,University of Vermont,"Burlington, VT",Collegelist,
230,"University of California, Berkeley","Berkeley, CA",Collegelist,
231,"University of California, Berkeley","Berkeley, CA",Collegelist,
232,Harvard University,"Cambridge, MA",Collegelist,
233,Arizona State University,"Tempe, AZ",Collegelist,
234,"W.P. Carey School of Business, Arizona State University","Tempe, AZ",Manual,
235,The University of Chicago - Booth School of Business,"(University of Chicago Booth School of Business, 25, Basinghall Street, City of London, Greater London, England, EC2V 5BQ, United Kingdom, (51.5162648, -0.0904216))",Nominatum,"University of Chicago Booth School of Business, 25, Basinghall Street, City of London, Greater London, England, EC2V 5BQ, United Kingdom"
236,The Johns Hopkins University,"Baltimore, MD",Collegelist,
237,Emma Willard School," Troy, NY",Collegelist,
238,San Diego State University-California State University,"San Diego, CA",Manual,
239,Palomar College,"(Palomar College, Comet Circle, San Marcos, San Diego County, California, 92078, United States of America, (33.15125, -117.180818281))",Nominatum,"Palomar College, Comet Circle, San Marcos, San Diego County, California, 92078, United States of America"
240,Arizona State University,"Tempe, AZ",Collegelist,
241,Boston College,"Chestnut Hill, MA",Collegelist,
242,Framingham High School,"115 A ST FRAMINGHAM, MA 01701",Collegelist,
243,,,,
244,Georgia Institute of Technology,"Atlanta, GA",Collegelist,
245,Georgia Institute of Technology,"Atlanta, GA",Collegelist,
246,Azusa Pacific University,"Azusa, CA",Collegelist,
247,"Azusa Pacific University, California","(Azusa Pacific University, 901, East Alosta Avenue, Azusa, Los Angeles County, California, 91741-1899, United States of America, (34.1304082, -117.8875838))",Nominatum,"Azusa Pacific University, 901, East Alosta Avenue, Azusa, Los Angeles County, California, 91741-1899, United States of America"
248,"University of Arkansas, Sam M. Walton College of Business","Fayetteville, AR",Manual,
249,"Texas State University, McCoy School of Business Administration","San Marcos, TX",Manual,
250,Nolan Catholic,"(Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America, (32.7613032, -97.2571925))",Nominatum,"Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America"
251,Nolan Catholic,"(Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America, (32.7613032, -97.2571925))",Nominatum,"Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America"
252,Nolan Catholic,"(Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America, (32.7613032, -97.2571925))",Nominatum,"Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America"
253,Nolan Catholic,"(Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America, (32.7613032, -97.2571925))",Nominatum,"Nolan Catholic High School Baseball Field, Bridge Street, Fort Worth, Tarrant County, Texas, 76112, United States of America"
254,James Madison University,"Harrisonburg, VA",Collegelist,
255,Harvard Business School,"(Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America, (42.3662654, -71.1219945))",Nominatum,"Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America"
256,The George Washington University,"Washington, DC",Collegelist,
